Order ID: 1, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [1, 2, 3], Last Updated: 2024-01-18 18:24:59.254466
Order ID: 2, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [4, 5, 6], Last Updated: 2024-01-18 18:24:59.255469
Order ID: 3, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [7, 8, 9], Last Updated: 2024-01-18 18:24:59.256463
Order ID: 4, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [10, 11, 12], Last Updated: 2024-01-18 18:24:59.261068
Order ID: 5, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [13, 14, 15], Last Updated: 2024-01-18 18:24:59.264091
Order ID: 2, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [4, 5, 6], Last Updated: 2024-01-18 18:24:59.275621
Order ID: 1, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [1, 2, 3], Last Updated: 2024-01-18 18:24:59.275621
Order ID: 3, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [7, 8, 9], Last Updated: 2024-01-18 18:24:59.276622
Order ID: 4, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [10, 11, 12], Last Updated: 2024-01-18 18:24:59.276622
Order ID: 6, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [16, 17, 18], Last Updated: 2024-01-18 18:24:59.276622
Order ID: 5, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [13, 14, 15], Last Updated: 2024-01-18 18:24:59.276622
Order ID: 7, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [19, 20, 21], Last Updated: 2024-01-18 18:24:59.301320
Order ID: 8, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [22, 23, 24], Last Updated: 2024-01-18 18:24:59.302319
Order ID: 9, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [25, 26, 27], Last Updated: 2024-01-18 18:24:59.302319
Order ID: 10, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [28, 29, 30], Last Updated: 2024-01-18 18:24:59.302319
Order ID: 11, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [31, 32, 33], Last Updated: 2024-01-18 18:24:59.303320
Order ID: 6, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [16, 17, 18], Last Updated: 2024-01-18 18:24:59.306825
Order ID: 12, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [34, 35, 36], Last Updated: 2024-01-18 18:24:59.306825
Order ID: 8, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [22, 23, 24], Last Updated: 2024-01-18 18:24:59.311837
Order ID: 10, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [28, 29, 30], Last Updated: 2024-01-18 18:24:59.311837
Order ID: 11, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [31, 32, 33], Last Updated: 2024-01-18 18:24:59.311837
Order ID: 9, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [25, 26, 27], Last Updated: 2024-01-18 18:24:59.312838
Order ID: 7, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [19, 20, 21], Last Updated: 2024-01-18 18:24:59.312838
Order ID: 12, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [34, 35, 36], Last Updated: 2024-01-18 18:24:59.321261
Order ID: 14, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [40, 41, 42], Last Updated: 2024-01-18 18:24:59.336783
Order ID: 13, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [37, 38, 39], Last Updated: 2024-01-18 18:24:59.336783
Order ID: 15, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [43, 44, 45], Last Updated: 2024-01-18 18:24:59.336783
Order ID: 17, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [49, 50, 51], Last Updated: 2024-01-18 18:24:59.336783
Order ID: 18, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [52, 53, 54], Last Updated: 2024-01-18 18:24:59.338253
Order ID: 19, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [55, 56, 57], Last Updated: 2024-01-18 18:24:59.338253
Order ID: 16, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [46, 47, 48], Last Updated: 2024-01-18 18:24:59.338253
Order ID: 17, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [49, 50, 51], Last Updated: 2024-01-18 18:24:59.343258
Order ID: 18, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [52, 53, 54], Last Updated: 2024-01-18 18:24:59.343258
Order ID: 15, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [43, 44, 45], Last Updated: 2024-01-18 18:24:59.343258
Order ID: 13, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [37, 38, 39], Last Updated: 2024-01-18 18:24:59.343258
Order ID: 16, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [46, 47, 48], Last Updated: 2024-01-18 18:24:59.343258
Order ID: 14, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [40, 41, 42], Last Updated: 2024-01-18 18:24:59.344255
Order ID: 20, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [58, 59, 60], Last Updated: 2024-01-18 18:24:59.344255
Order ID: 19, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [55, 56, 57], Last Updated: 2024-01-18 18:24:59.344255
Order ID: 21, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [61, 62, 63], Last Updated: 2024-01-18 18:24:59.349818
Order ID: 24, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [70, 71, 72], Last Updated: 2024-01-18 18:24:59.349818
Order ID: 23, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [67, 68, 69], Last Updated: 2024-01-18 18:24:59.349818
Order ID: 26, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [76, 77, 78], Last Updated: 2024-01-18 18:24:59.349818
Order ID: 22, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [64, 65, 66], Last Updated: 2024-01-18 18:24:59.349818
Order ID: 27, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [79, 80, 81], Last Updated: 2024-01-18 18:24:59.349818
Order ID: 25, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [73, 74, 75], Last Updated: 2024-01-18 18:24:59.350803
Order ID: 24, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [70, 71, 72], Last Updated: 2024-01-18 18:24:59.353821
Order ID: 21, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [61, 62, 63], Last Updated: 2024-01-18 18:24:59.354806
Order ID: 22, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [64, 65, 66], Last Updated: 2024-01-18 18:24:59.354806
Order ID: 28, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [82, 83, 84], Last Updated: 2024-01-18 18:24:59.354806
Order ID: 26, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [76, 77, 78], Last Updated: 2024-01-18 18:24:59.355806
Order ID: 20, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [58, 59, 60], Last Updated: 2024-01-18 18:24:59.355806
Order ID: 23, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [67, 68, 69], Last Updated: 2024-01-18 18:24:59.355806
Order ID: 25, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [73, 74, 75], Last Updated: 2024-01-18 18:24:59.355806
Order ID: 28, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [82, 83, 84], Last Updated: 2024-01-18 18:24:59.357873
Order ID: 29, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [85, 86, 87], Last Updated: 2024-01-18 18:24:59.378171
Order ID: 30, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [88, 89, 90], Last Updated: 2024-01-18 18:24:59.378171
Order ID: 29, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [85, 86, 87], Last Updated: 2024-01-18 18:24:59.379173
Order ID: 30, Status: collected, Time Accepted: 2024-01-18 18:24:51, Time Collected: 2024-01-18 18:24:59, Number of Products: 3, Product IDs: [88, 89, 90], Last Updated: 2024-01-18 18:24:59.379173
